NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM
0.205549354,0.96316377,0.688406953,0.011880083,0.161457503,0.101419231,0.605086908,5.166400893,4.196380163,0.371711051,0.357120077,0.241189603,0.592170308,0.540264711,0.035480785,0.016424813
0.205737052,0.96374502,0.688525896,0.01187251,0.161992032,0.101354582,0.604541833,5.166613546,4.196573705,0.371792829,0.35689243,0.241354582,0.591952191,0.540079681,0.035458167,0.016414343
0.205615654,0.962853961,0.687798282,0.011851734,0.161867642,0.101336303,0.604517976,5.16131085,4.192411709,0.371460388,0.356506522,0.24093223,0.591314031,0.539452752,0.03547566,0.016385619
0.205470738,0.963660941,0.688215649,0.012166031,0.161975191,0.101304071,0.604802799,5.160861959,4.19187341,0.371342239,0.356870229,0.240776081,0.591364504,0.53951972,0.035464377,0.016380407
0.205309594,0.964629203,0.688816469,0.012161195,0.162149273,0.101502265,0.604721405,5.162149273,4.193068913,0.371115174,0.357364279,0.240600906,0.591447421,0.539702726,0.035370797,0.016373897
0.205546751,0.962123613,0.687083994,0.012202853,0.161727417,0.10110935,0.605309033,5.152852615,4.184548336,0.37044374,0.357686212,0.240174326,0.589857369,0.538272583,0.03526149,0.016323296
0.207273007,0.97662797,0.680633505,0.01283924,0.170446683,0.112708542,0.614130853,5.14469132,4.166448835,0.376720228,0.360959483,0.240562774,0.586299685,0.534635196,0.035134927,0.016529561
0.207257073,0.976552891,0.680581181,0.012838253,0.170433579,0.112699877,0.614160517,5.144603321,4.166359164,0.376768143,0.360931734,0.24054428,0.586254613,0.534594096,0.035132226,0.01652829
0.207270212,0.976790655,0.680679373,0.012834307,0.170611743,0.112665232,0.613971718,5.143944052,4.166000615,0.376652321,0.360820781,0.240470335,0.586074393,0.534429757,0.035121426,0.016523209
0.207129687,0.976874616,0.680777505,0.012830363,0.17063614,0.112630608,0.613859865,5.143438844,4.165411801,0.376613399,0.36101721,0.240396435,0.586047941,0.534419176,0.035110633,0.016518132
0.175093633,1.125780275,0.70411985,0.010611735,0.310237203,0.100811486,0.444132335,5.879525593,4.593632959,0.457865169,0.429775281,0.398252185,0.444756554,0.375156055,0.028401998,0.041198502
0.174469413,1.127652934,0.70411985,0.010611735,0.312109863,0.100811486,0.444132335,5.881086142,4.593945069,0.457865169,0.43102372,0.398252185,0.444756554,0.375156055,0.028401998,0.041198502
0.180343214,1.139157566,0.705460218,0.010920437,0.32199688,0.100780031,0.448049922,5.883307332,4.59625585,0.459282371,0.429641186,0.398127925,0.44524181,0.375663027,0.028393136,0.041185647
0.179918927,1.138758965,0.705020268,0.010913626,0.322107889,0.100717181,0.447770502,5.884627378,4.597131275,0.458995946,0.430620518,0.397879638,0.446211413,0.376676021,0.028375429,0.041159963
0.179750779,1.145794393,0.704672897,0.010903427,0.329595016,0.100623053,0.447352025,5.882554517,4.594080997,0.458566978,0.432398754,0.397507788,0.445794393,0.376323988,0.02834891,0.041121495
0.180093313,1.147122862,0.706376361,0.01088647,0.329393468,0.100466563,0.446656299,5.876205288,4.588491446,0.458475894,0.432348367,0.39688958,0.445101089,0.375738725,0.028304821,0.041057543
0.179471229,1.147122862,0.706687403,0.01088647,0.329082426,0.100466563,0.446656299,5.878382582,4.590046656,0.458475894,0.432970451,0.39688958,0.445101089,0.375738725,0.028304821,0.041057543
0.179907264,1.153941267,0.711282844,0.011128284,0.33137558,0.10015456,0.4438949,5.871715611,4.581452859,0.455641422,0.436476043,0.398145286,0.443585781,0.374343122,0.02812983,0.041112828
0.210337616,1.220197192,0.763071407,0.010755901,0.336420675,0.109949208,0.46579026,5.812668061,4.535703615,0.446369883,0.428443382,0.40215118,0.456528234,0.385718554,0.028383627,0.042426053
0.21239453,1.209775967,0.761710794,0.010474251,0.328775095,0.108815828,0.466977015,5.719813791,4.467267966,0.434390457,0.421297643,0.396857725,0.463776549,0.394239162,0.027640384,0.041897003
0.124083474,0.944500846,0.656514382,0.01500282,0.177326565,0.095657078,0.025606317,5.637450649,4.367287084,0.417935702,0.584771574,0.267456289,0.695882685,0.669712352,0.014890017,0.011280316
0.122007878,1.018078982,0.731542268,0.016765983,0.178971821,0.090798909,0.043328957,5.511261489,4.246742753,0.41036259,0.578325422,0.275830724,0.648419352,0.622159378,0.014745985,0.011513988
0.131508423,0.95300536,0.647492343,0.014931087,0.203962481,0.086619449,0.049004594,5.535509188,4.254785605,0.408594946,0.591117917,0.28101072,0.636964012,0.60901608,0.01550536,0.012442573
0.130426486,0.953248736,0.647552714,0.014884076,0.203988169,0.086823776,0.049422765,5.546703559,4.259898865,0.411315714,0.594790573,0.280698407,0.636485068,0.608625131,0.01545654,0.012403397
0.131790744,0.963874154,0.649533565,0.015182001,0.202030364,0.097128224,0.044814341,5.503841229,4.224163161,0.40186574,0.60023779,0.277574538,0.639930492,0.611212731,0.015456375,0.013261387
0.133895668,0.9480796,0.642617312,0.015969208,0.199819835,0.089673245,0.08615183,5.418393252,4.182048972,0.39480796,0.585947097,0.255589223,0.640733765,0.61198919,0.016460568,0.012284006
0.244735797,1.062971792,0.782032181,0.015991259,0.198053238,0.066895113,0.226410409,4.973033373,3.8628824,0.374453715,0.523192292,0.212504966,0.531336909,0.500993246,0.021702424,0.00864124
0.244912107,1.087843526,0.789700421,0.015845506,0.215102748,0.06719485,0.226739292,4.958455063,3.865907403,0.374944293,0.50477841,0.212824957,0.530032186,0.499579104,0.021787571,0.008665511
0.277202679,1.062672725,0.767857979,0.015504239,0.212047403,0.067263104,0.241884866,5.029228535,3.849454307,0.452199166,0.492388402,0.23518666,0.537776945,0.506627945,0.021921401,0.009227598
0.278860847,1.078721926,0.781755036,0.015327622,0.213567956,0.068071313,0.244408428,5.034683955,3.850011577,0.457235471,0.492660338,0.234776569,0.534753415,0.503635101,0.021949525,0.009168789
0.278817734,0.815763547,0.640394089,0.014778325,0.126108374,0.034482759,0.120197044,3.234482759,2.688669951,0.209852217,0.301477833,0.034482759,0.501477833,0.473891626,0.016748768,0.010837438
0.242587601,0.831985624,0.645103324,0.012578616,0.136567835,0.037735849,0.148247978,3.293800539,2.769991015,0.213836478,0.277628032,0.032345013,0.466307278,0.4393531,0.017070979,0.009883199
0.243267504,0.837522442,0.649012567,0.012567325,0.138240575,0.037701975,0.148114901,3.301615799,2.771992819,0.216337522,0.280969479,0.032315978,0.466786355,0.439856373,0.017055655,0.009874327
0.241777778,0.843555556,0.652444444,0.012444444,0.139555556,0.039111111,0.146666667,3.290666667,2.758222222,0.216888889,0.282666667,0.032888889,0.497777778,0.470222222,0.016888889,0.010666667
0.228235294,0.845490196,0.636078431,0.011764706,0.152941176,0.044705882,0.138039216,3.451764706,2.869803922,0.210196078,0.312941176,0.058823529,0.538039216,0.509803922,0.017254902,0.010980392
0.223786066,0.805770584,0.60661506,0.010555947,0.147079521,0.041520056,0.140042224,3.470091485,2.87825475,0.223786066,0.308233638,0.05981703,0.503166784,0.476425053,0.016889514,0.009852217
0.22394822,0.811003236,0.592880259,0.010355987,0.160517799,0.047249191,0.14368932,3.84789644,3.201294498,0.236893204,0.333333333,0.076375405,0.646601942,0.619417476,0.017475728,0.009708738
0.19361483,0.7507724,0.564881565,0.008753862,0.134912461,0.042224511,0.140061792,3.657569516,3.086508754,0.195159629,0.301750772,0.07415036,0.538619979,0.514418126,0.014933059,0.009268795
0.202800579,0.729116369,0.550458716,0.009174312,0.13085466,0.038628682,0.145340415,3.690487687,3.122163206,0.196523419,0.302269435,0.069531627,0.515692902,0.492998551,0.013520039,0.009174312
0.215934812,0.678587596,0.492530557,0.010411951,0.137166139,0.03847895,0.162516976,3.701222273,3.150294251,0.184246265,0.301041195,0.065640561,0.50701675,0.487098234,0.011317338,0.008601177
0.004548408,0.523716699,0.50617284,0,0.005198181,0.012345679,0.072774529,4.024691358,3.380766732,0.235217674,0.023391813,0.38531514,0.148148148,0.125406108,0.004548408,0.018193632
0.004545455,0.524025974,0.506493506,0,0.005194805,0.012337662,0.073376623,4.031818182,3.385714286,0.236363636,0.023376623,0.386363636,0.151298701,0.128571429,0.004545455,0.018181818
0.004545455,0.524025974,0.506493506,0,0.005194805,0.012337662,0.073376623,4.038311688,3.391558442,0.236363636,0.023376623,0.387012987,0.152597403,0.12987013,0.004545455,0.018181818
0.004545455,0.524025974,0.506493506,0,0.005194805,0.012337662,0.073376623,4.038961039,3.392207792,0.236363636,0.023376623,0.387012987,0.152597403,0.12987013,0.004545455,0.018181818
0.004536617,0.523007129,0.505508749,0,0.005184705,0.012313675,0.07323396,4.044069994,3.398574206,0.236552171,0.023331173,0.385612443,0.152948801,0.130265716,0.004536617,0.018146468
0.004524887,0.521654816,0.504201681,0,0.005171299,0.012281836,0.073044602,4.043956044,3.398836458,0.237233355,0.023270847,0.384615385,0.152553329,0.129928895,0.004524887,0.018099548
0.004533679,0.522668394,0.505181347,0,0.005181347,0.012305699,0.073186528,4.061528497,3.412564767,0.238341969,0.023316062,0.387305699,0.152849741,0.130181347,0.004533679,0.018134715
0.004516129,0.520645161,0.503225806,0,0.00516129,0.012258065,0.072903226,4.049677419,3.403225806,0.237419355,0.023225806,0.385806452,0.156129032,0.133548387,0.004516129,0.018064516
0.004504505,0.519305019,0.501930502,0,0.005148005,0.012226512,0.074002574,4.045045045,3.400900901,0.236808237,0.023166023,0.384169884,0.157657658,0.135135135,0.004504505,0.018018018
0.004504505,0.523166023,0.505791506,0,0.005148005,0.012226512,0.072715573,4.051480051,3.406048906,0.236808237,0.023166023,0.385456885,0.157657658,0.135135135,0.004504505,0.018018018