SOREN_0.75,SOREN_0.5,JAC_0.75,JAC_0.5,BUNCH
0.891,0.742,0.868,0.871,0.766
0.873,0.782,0.854,0.812,0.787
0.882,0.812,0.832,0.82,0.796
0.841,0.801,0.825,0.875,0.712
0.889,0.842,0.843,0.732,0.743
0.812,0.772,0.811,0.786,0.651
0.723,0.721,0.791,0.776,0.61
0.842,0.782,0.85,0.754,0.75
0.873,0.821,0.825,0.831,0.795
0.881,0.845,0.764,0.81,0.821
0.951,0.892,0.942,0.911,0.823
0.932,0.872,0.91,0.885,0.812
0.789,0.765,0.794,0.724,0.789
0.943,0.851,0.931,0.841,0.884
0.951,0.912,0.934,0.815,0.915
0.91,0.889,0.914,0.843,0.951
0.815,0.81,0.814,0.789,0.843
0.868,0.819,0.841,0.833,0.868
0.925,0.881,0.911,0.812,0.865
0.761,0.712,0.672,0.633,0.843
0.765,0.714,0.732,0.687,0.782
0.672,0.612,0.689,0.614,0.715
0.871,0.716,0.831,0.708,0.717
0.916,0.887,0.875,0.842,0.885
0.689,0.632,0.644,0.615,0.766
0.644,0.567,0.619,0.513,0.714
0.881,0.785,0.841,0.812,0.891
0.811,0.814,0.781,0.745,0.855
0.941,0.912,0.878,0.815,0.915
0.814,0.784,0.776,0.745,0.844
0.941,0.916,0.876,0.833,0.912
0.915,0.889,0.877,0.834,0.893
0.943,0.916,0.886,0.834,0.922
0.787,0.675,0.643,0.612,0.782
0.844,0.821,0.776,0.712,0.832
0.812,0.779,0.733,0.641,0.789
0.774,0.731,0.755,0.698,0.744
0.896,0.844,0.832,0.798,0.841
0.877,0.843,0.845,0.832,0.798
0.912,0.884,0.856,0.823,0.842
0.945,0.921,0.924,0.891,0.925
0.932,0.915,0.895,0.842,0.813
0.942,0.917,0.922,0.916,0.933
0.914,0.883,0.876,0.834,0.866
0.875,0.845,0.834,0.827,0.856
0.911,0.864,0.874,0.832,0.854
0.867,0.822,0.856,0.811,0.799
0.812,0.782,0.867,0.823,0.8455
0.955,0.931,0.925,0.899,0.921
0.861,0.833,0.856,0.811,0.856