NumberOfChanges,NumberConsecutiveChanges,NumberCodeBursts,TotalBurstSize,MaximumCodeBurst,NumberOfChangesEarly,NumberOfConsecutiveChangesEarly,NumberCodeBurstsEarly,TotalBurstSizeEarly,MaximumCodeBurstEarly,NumberOfChangesLate,NumberConsecutiveChangesLate,NumberCodeBurstsLate,TotalBurstSizeLate,MaximumCodeBurstLate,TimeFirstBurst,TimeLastBurst,TimeMaxBurst,PeopleTotal,TotalPeopleInBurst,MaxPeopleInBurst,ChurnTotal,TotalChurnInBurst,MaxChurnInBurst
3,2,2,3,2,0,0,0,0,0,3,2,2,3,2,366,405,366,3,3,2,127,127,112
13,12,12,13,2,13,12,12,13,2,0,0,0,0,0,85,353,277,4,4,2,1096,1096,621
3,3,3,3,1,3,3,3,3,1,0,0,0,0,0,231,267,231,1,1,1,956,956,477
11,10,10,11,2,8,8,8,8,1,3,2,2,3,2,2,429,407,3,3,1,1083,1083,536
3,3,3,3,1,3,3,3,3,1,0,0,0,0,0,250,338,250,2,2,1,745,745,735
8,8,8,8,1,8,8,8,8,1,0,0,0,0,0,2,305,2,2,2,1,308,308,104
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,165,165,165,1,1,1,428,428,428
2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,174,174,174,1,1,1,214,214,214
8,8,8,8,1,7,7,7,7,1,1,1,1,1,1,2,364,2,4,4,1,565,565,288
6,2,2,6,5,2,1,1,2,2,4,2,2,4,3,358,418,358,1,1,1,204,204,199
3,2,2,3,2,3,2,2,3,2,0,0,0,0,0,22,38,22,2,2,2,744,744,374
23,20,20,23,2,20,18,18,20,2,3,2,2,3,2,100,422,268,4,4,1,3315,3315,1166
8,7,7,8,2,8,7,7,8,2,0,0,0,0,0,2,320,141,3,3,1,210,210,152
11,6,6,11,6,11,6,6,11,6,0,0,0,0,0,165,286,200,2,2,1,1714,1714,750
6,6,6,6,1,6,6,6,6,1,0,0,0,0,0,2,320,2,3,3,1,321,321,190
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,369,369,369,1,1,1,73,73,73
5,5,5,5,1,2,2,2,2,1,3,3,3,3,1,246,432,246,1,1,1,1163,1163,570
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,165,165,165,1,1,1,492,492,492
4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,246,411,246,2,2,1,1024,1024,506
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,267,320,267,1,1,1,481,481,477
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,165,165,165,1,1,1,107,107,107
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,179,371,179,2,2,1,154,154,75
5,5,5,5,1,5,5,5,5,1,0,0,0,0,0,26,298,26,1,1,1,235,235,212
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,218,218,107
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,156,156,76
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,366,366,366,2,2,2,107,107,107
5,5,5,5,1,5,5,5,5,1,0,0,0,0,0,2,320,2,2,2,1,277,277,205
15,9,9,15,4,9,4,4,9,4,6,5,5,6,2,328,443,341,3,3,2,1382,1382,874
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,331,358,331,1,1,1,176,176,134
6,6,6,6,1,5,5,5,5,1,1,1,1,1,1,2,423,2,2,2,1,281,281,194
12,11,11,12,2,10,10,10,10,1,2,1,1,2,2,33,394,394,3,3,1,1496,1496,489
15,11,11,15,3,14,10,10,14,3,1,1,1,1,1,90,429,279,2,2,1,1648,1648,633
6,6,6,6,1,4,4,4,4,1,2,2,2,2,1,236,434,236,1,1,1,645,645,552
2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,174,174,174,1,1,1,1378,1378,1378
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,150,150,73
10,7,7,10,3,10,7,7,10,3,0,0,0,0,0,26,304,297,1,1,1,620,620,338
6,6,6,6,1,5,5,5,5,1,1,1,1,1,1,59,364,59,3,3,1,298,298,200
2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,174,174,174,1,1,1,150,150,150
4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,174,371,174,2,2,1,2034,2034,985
16,13,13,16,3,8,8,8,8,1,8,5,5,8,3,51,408,397,3,3,1,2447,2447,775
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,248,429,248,1,1,1,478,478,470
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,173,173,173,1,1,1,89,89,89
4,4,4,4,1,4,4,4,4,1,0,0,0,0,0,185,288,185,2,2,1,246,246,108
5,4,4,5,2,4,3,3,4,2,1,1,1,1,1,264,369,264,2,2,1,730,730,594
14,12,12,14,2,13,11,11,13,2,1,1,1,1,1,100,403,100,3,3,2,2965,2965,1398
6,4,4,6,3,6,4,4,6,3,0,0,0,0,0,165,263,202,2,2,1,452,452,336
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,403,403,403,1,1,1,457,457,457
2,2,2,2,1,0,0,0,0,0,2,2,2,2,1,429,435,429,1,1,1,1184,1184,899
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,248,320,248,1,1,1,408,408,404
14,10,10,14,3,12,8,8,12,3,2,2,2,2,1,2,416,40,5,5,1,981,981,346
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,179,371,179,2,2,1,218,218,107
5,5,5,5,1,4,4,4,4,1,1,1,1,1,1,174,371,174,2,2,1,2042,2042,955
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,158,158,77
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,366,366,366,2,2,2,95,95,95
8,8,8,8,1,7,7,7,7,1,1,1,1,1,1,2,364,2,4,4,1,639,639,341
5,4,4,5,2,5,4,4,5,2,0,0,0,0,0,244,336,244,3,3,2,374,374,361
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,328,328,328,1,1,1,88,88,88
8,7,7,8,2,8,7,7,8,2,0,0,0,0,0,100,320,100,1,1,1,846,846,465
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,411,411,411,1,1,1,173,173,173
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,218,218,107
11,9,9,11,2,11,9,9,11,2,0,0,0,0,0,2,336,7,3,3,2,466,466,229
9,5,5,9,3,4,2,2,4,3,5,3,3,5,3,342,436,342,2,2,2,1153,1153,436
4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,179,371,179,2,2,1,1760,1760,714
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,241,246,241,2,2,1,518,518,259
4,4,4,4,1,3,3,3,3,1,1,1,1,1,1,174,371,174,2,2,1,862,862,417
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,369,369,369,1,1,1,73,73,73
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,248,320,248,1,1,1,439,439,435
6,4,4,6,2,4,2,2,4,2,2,2,2,2,1,272,411,272,2,2,1,4577,4577,3538
6,5,5,6,2,6,5,5,6,2,0,0,0,0,0,185,288,185,2,2,1,470,470,230
4,4,4,4,1,2,2,2,2,1,2,2,2,2,1,347,412,347,3,3,1,292,292,270
6,5,5,6,2,6,5,5,6,2,0,0,0,0,0,26,306,306,2,2,1,165,165,142
4,4,4,4,1,2,2,2,2,1,2,2,2,2,1,257,411,257,1,1,1,300,300,239
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,440,440,440,1,1,1,419,419,419
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,369,369,369,1,1,1,73,73,73
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,248,320,248,1,1,1,433,433,429
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,411,411,411,1,1,1,301,301,301
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,366,366,366,2,2,2,89,89,89
12,11,11,12,2,12,11,11,12,2,0,0,0,0,0,84,353,276,4,4,2,1136,1136,570
3,3,3,3,1,2,2,2,2,1,1,1,1,1,1,174,371,174,2,2,1,218,218,107
2,1,1,2,2,0,0,0,0,0,2,1,1,2,2,366,366,366,2,2,2,78,78,78
51,28,28,51,5,44,24,24,44,5,7,4,4,7,3,2,426,321,5,5,3,4394,4394,1620
13,12,12,13,2,10,9,9,10,2,3,3,3,3,1,2,415,109,3,3,1,531,531,253
5,5,5,5,1,5,5,5,5,1,0,0,0,0,0,2,320,2,2,2,1,160,160,109
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,242,246,242,2,2,1,1010,1010,505
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,38,83,38,1,1,1,818,818,409
24,12,12,24,13,22,10,10,22,13,2,2,2,2,1,29,400,29,6,6,1,1295,1295,540
8,8,8,8,1,7,7,7,7,1,1,1,1,1,1,2,408,2,3,3,1,344,344,241
2,2,2,2,1,2,2,2,2,1,0,0,0,0,0,248,320,248,1,1,1,414,414,410
3,3,3,3,1,3,3,3,3,1,0,0,0,0,0,248,337,248,2,2,1,274,274,266
16,10,10,16,4,11,8,8,11,4,5,2,2,5,3,162,430,193,3,3,2,2422,2422,796