Instance,NoGenSM,NoSM,NoPubSM,NoProSM,NoPriSM,NoDefSM,NoGenM,NoM,NoPubM,NoProM,NoPriM,NoDefM,NoAM,NoPubAM,NoProAM,NoDefAM,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,Label
Bears,0.262108262,0.923076923,0.643874644,0.008547009,0.222222222,0.048433048,0.381766382,4.623931624,3.766381766,0.327635328,0.378917379,0.150997151,0.98005698,0.888888889,0.088319088,0.002849003,9.67551963,0.799076212,0.222863741,12.55773672,28.00923788,63.9630485,5.036951501,7.846420323,6.416859122,1.070360473,210.4341801,0.555051581,1.009237875,0.019458377,0.407589067,0.065819861,0.071593533,14.88632499,none
Bears,0.004203936,0.349821109,0.238237925,0.000894454,0.11068873,0,0.016502683,2.704338104,1.754695886,0.472406082,0.476028623,0.001207513,0.047942755,0.036135957,0.011806798,0,4.352549195,0.19293381,0.739982111,10.94923971,24.9072898,13.82374776,4.198837209,6.844856887,3.010733453,1.4045271,181.7748211,0.41644135,0.123658318,0.00509839,0.595010057,0.001878354,0.003756708,39.64097049,Cardumen
Bears,0,0.421052632,0.421052632,0,0,0,0,2.210526316,1.842105263,0.105263158,0.263157895,0,0.631578947,0.631578947,0,0,3.684210526,1.052631579,0.210526316,3.421052632,7.578947368,6.210526316,1.631578947,1.894736842,3.421052632,1.094444444,55.15789474,0.712280702,0.736842105,0.145946305,0.580987726,0.052631579,0.052631579,7.823375747,Arja
Bears,0.333333333,0.555555556,0.333333333,0,0.222222222,0,0.111111111,11.66666667,4.444444444,5,2.222222222,0,0,0,0,0,14.11111111,0.666666667,0.111111111,5.333333333,25.55555556,137.5555556,0.777777778,4.555555556,5.888888889,0.59054253,372.2222222,0.84017094,0.888888889,0.021367521,0.330909225,0.333333333,0.555555556,15.5542997,none
Bears,0,0.384615385,0.384615385,0,0,0,0.076923077,8,2.923076923,1,4.076923077,0,0.076923077,0.076923077,0,0,9.384615385,0.769230769,0.153846154,7.923076923,35,115.6153846,0.923076923,7,3.923076923,1.151186286,360,0.58974359,0.153846154,0,0.317678442,0,0,22.67396549,Arja
Bears,0,0,0,0,0,0,0,10.5,9.25,0,1,0.25,0,0,0,0,12,1,0,10.75,29.5,75.25,1.25,10,10.25,0.517424242,141.25,0.95,0.25,0,0.41856199,0,0,11.10072464,none
Bears,0,13.25,11.75,0,1.5,0,0,0,0,0,0,0,0,0,0,0,14.5,1,0,1,21.75,129.5,0.5,0.5,11.75,1.75,273,0,0,0,0.466620711,0,0,21.96654412,none
Bears,0.20754717,1.254716981,0.537735849,0,0.339622642,0.377358491,0.330188679,7.349056604,5.566037736,0.330188679,0.490566038,0.962264151,0.29245283,0.235849057,0.009433962,0.047169811,10.97169811,0.886792453,0.235849057,9.688679245,36.81132075,79.93396226,4.528301887,5.726415094,7.188679245,1.024874705,421.6792453,0.544755848,0.849056604,0.062457101,0.389458161,0.094339623,0.141509434,42.99955664,none
Bears,0.063953488,0.343023256,0.25,0,0.093023256,0,0.226744186,4.552325581,4.093023256,0.186046512,0.26744186,0.005813953,0.790697674,0.773255814,0.01744186,0,8.279773157,0.752362949,0.277882798,10.15689981,23.76559546,40.64272212,3.587901701,6.655954631,6.618147448,1.06352069,180.4272212,0.606538897,0.657844991,0.017436401,0.472966721,0.020793951,0.020793951,18.45257863,none
Bears,0.140056022,2.355742297,2.31372549,0.005602241,0.036414566,0,0.229691877,3.462184874,3.117647059,0.291316527,0.053221289,0,1.43977591,1.425770308,0.014005602,0,8.057216055,0.983774552,0.017079419,10.62169086,17.94534586,106.6122972,3.208368915,7.49530316,6.673783091,0.99014936,117.4210077,0.493162168,1.343296328,0.152925845,0.494382451,0.380017079,0.401366354,10.3413304,none
Bears,0,0.181208054,0.181208054,0,0,0,0.805369128,3.738255034,3.724832215,0,0.013422819,0,0.11409396,0.11409396,0,0,6.818791946,0.154362416,0.872483221,9.120805369,13.81879195,20.65100671,2.463087248,6.67114094,5.067114094,1.484888319,71.39597315,0.350630718,0.791946309,0.030793525,0.53861458,0.040268456,0.040268456,8.942351257,none
Bears,0,0.714285714,0.428571429,0,0.285714286,0,2,35.28571429,19.71428571,8.142857143,7.428571429,0,0,0,0,0,40.28571429,1.857142857,0,11.85714286,71.28571429,1081.142857,1.571428571,10.28571429,23.14285714,0.818048423,1628.285714,0.614505495,0.428571429,0.337488979,0.346129212,1,13.57142857,26.89602754,none
Bears,0,0.454545455,0.272727273,0,0.181818182,0,2.363636364,15.72727273,12.18181818,2.545454545,1,0,0,0,0,0,20.54545455,2.272727273,0.181818182,10.90909091,39.54545455,356.8181818,1.181818182,9.727272727,15.54545455,0.94053475,453.5454545,0.847796143,0,0.4578208,0.453881407,0.818181818,7.454545455,18.31351579,none
Bears,0,0.25,0.25,0,0,0,0,4.625,4.125,0,0.5,0,0,0,0,0,6.5,1.125,0,3.8125,13.1875,16.1875,1.5,2.3125,5.6875,0.901293498,84.6875,0.783333333,1.1875,0.101960784,0.553819444,0.125,0.1875,9.136346726,none
Bears,0,0.612244898,0.081632653,0,0.530612245,0,0.020408163,2.653061224,2.142857143,0.224489796,0.285714286,0,0.06122449,0,0.06122449,0,3.796610169,0.220338983,0.050847458,5.220338983,14.89830508,4.406779661,0.169491525,5.050847458,2.661016949,1.205976284,80.3559322,0.539849134,0.033898305,0,0.48544357,0,0,15.71190476,none
Bears,0.066397849,0.451075269,0.272849462,0.002956989,0.169623656,0.005645161,0.293010753,3.331451613,2.659139785,0.28655914,0.35672043,0.029032258,1.101075269,1.038978495,0.062096774,0,6.296394486,0.967921527,0.11028632,7.260869565,16.78234358,23.34464475,2.104718982,5.219777306,4.933191941,1.163804564,93.17497349,0.55806531,0.494432662,0.055037243,0.515651115,0.113202545,0.113202545,10.72062461,Kali
Bears,0.055555556,16.44444444,15.55555556,0.5,0.388888889,0,0,5.555555556,5.444444444,0,0.111111111,0,0.555555556,0.555555556,0,0,31.31578947,0.947368421,0.052631579,7.052631579,55.26315789,3907.368421,1.473684211,5.789473684,28.52631579,1.447153419,446.7368421,0.421052632,0.157894737,0,0.623713305,0.105263158,0.105263158,7.935002816,none
Bears,0.117647059,1.882352941,1.029411765,0,0.176470588,0.676470588,0.235294118,3.676470588,3.205882353,0,0.088235294,0.382352941,1.117647059,1.117647059,0,0,8.647058824,0.970588235,0.117647059,5,24.58823529,36.85294118,1.382352941,3.676470588,5.911764706,1.141835949,222.6764706,0.327369281,0.470588235,0.122858997,0.424819343,0.264705882,0.264705882,18.74914939,none
Bears,0.193548387,0.167741935,0.070967742,0.019354839,0.04516129,0.032258065,0.103225806,3.84516129,3.070967742,0.264516129,0.438709677,0.070967742,0.612903226,0.574193548,0.032258065,0.006451613,6.264516129,0.664516129,0.419354839,5.587096774,17.98064516,49.24516129,2.090322581,3.535483871,4.961290323,1.218711598,180.2322581,0.522533538,0.187096774,0.032814116,0.575727517,0.032258065,0.032258065,22.63509796,Cardumen
Bears,0,1,0,0,1,0,0,4.666666667,2.333333333,0,1.666666667,0.666666667,0,0,0,0,7,0.333333333,0,8,23,26,0.666666667,7.333333333,2.666666667,0.752340252,126,1,0.333333333,0,0.491452991,0,0,13.16666667,Arja
Bears,0,3.833333333,1.333333333,0,2.333333333,0.166666667,0,2.333333333,1.166666667,0,1.166666667,0,0,0,0,0,7.333333333,1,0,15.83333333,52.66666667,29.83333333,0,15.83333333,3.5,1.568027211,328.5,0.333333333,0,0,0.328670635,0,0,47.48492063,Cardumen
Bears,0,0.780240915,0.655228262,0.038060532,0.082397004,0.004555117,0.924081385,10.96760806,9.063670412,1.612511388,0.247595911,0.043830347,1.370685292,1.301751189,0.068934103,0,15.9572943,2.459969712,0.506915699,17.66279657,35.62150429,218.0267542,7.771226653,10.26330136,12.7617365,1.083607083,296.0495709,0.636677569,1.523170116,0.438835954,0.379874097,1.064109036,2.575769813,14.76000399,none
Bears,0.022900763,0.526717557,0.328244275,0.003816794,0.175572519,0.019083969,0.448473282,8.229007634,5.332061069,1.463740458,1.219465649,0.213740458,0.267175573,0.133587786,0.131679389,0.001908397,10.41847826,0.489130435,0.580163043,10.94021739,28.81657609,93.79211957,4.949728261,6.789402174,7.274456522,1.172207205,206.2445652,0.636012145,1.527173913,0.048418311,0.480379491,0.063858696,0.063858696,14.35979565,none
Bears,0.068612314,0.375710789,0.279420072,0.002071173,0.045565807,0.048653738,1.107738656,6.844021841,6.160760685,0.201016758,0.390811523,0.091432875,2.402824327,2.398230088,0.004594238,0,8.549357317,1.183701708,0.384043986,15.33761789,24.19768416,125.235881,7.256818265,8.34959764,7.596620908,1.537869644,182.4564687,0.325138792,0.806321232,0.17556603,0.423710442,0.134835961,0.274405564,8.976521797,none
Bears,0.38372093,2.139534884,2.139534884,0,0,0,0.837209302,6.488372093,5.930232558,0.197674419,0.360465116,0,1.26744186,1.244186047,0.011627907,0.011627907,12.30232558,0.360465116,0.639534884,12.11627907,26.88372093,202.1744186,5.953488372,7.23255814,11.1744186,1.517910963,281.6511628,0.313953488,0.802325581,0,0.526976225,0.023255814,0.023255814,24.2488265,Nopol
Bugs.jar,0.423265685,1.268735907,0.964053588,0.100145908,0.139938984,0.064597427,0.676349648,6.883008357,6.190343547,0.155988858,0.482690012,0.05398594,0.533492506,0.528319406,0.0051731,0,11.80239216,0.814861942,0.212367986,13.1593078,33.73877084,125.9274717,4.561521822,8.938287314,9.789540654,1.067738282,277.5512152,0.515324868,1.094668533,0.082587288,0.422751645,0.175849345,0.182084235,21.45622749,DynaMoth
Bugs.jar,0.094543744,0.373941675,0.302445908,0.007996237,0.051269991,0.012229539,0.301034807,6.226716839,5.24317968,0.511288805,0.405926623,0.066321731,0.52869238,0.475070555,0.051269991,0.002351834,8.923554706,0.650262781,0.384615385,12.97228858,26.87673196,48.07453416,4.554706163,8.813186813,7.33588151,1.078205938,200.711419,0.669301524,0.786908743,0.040920202,0.446973261,0.073100812,0.097945533,16.51133256,DynaMoth
Bugs.jar,0.117241379,1.5066313,1.399469496,0,0.078514589,0.028647215,0.128912467,4.458355438,3.799469496,0.291246684,0.264721485,0.102917772,0.595225464,0.551193634,0.04403183,0,8.329973475,0.832360743,0.35862069,4.534748011,18.94907162,42.88859416,2.069496021,2.587267905,6.978249337,1.224664196,157.2429708,0.578271679,0.574005305,0.074816871,0.540793186,0.107161804,0.190981432,13.61621508,DynaMoth
Bugs.jar,0,0.2,0.16,0,0.04,0,0.16,9.48,8.16,0,1.32,0,0.84,0.84,0,0,12.04,0.84,0.2,4.52,24.68,153.64,1.6,3,10.6,1.232239871,158.96,0.535384615,0.16,0.071521739,0.538687508,0.04,0.04,13.29895898,Arja
Bugs.jar,0.09733777,1.389351082,1.157237937,0.064891847,0.122296173,0.044925125,0.082362729,6.119800333,5.314475874,0.41014975,0.382695507,0.012479201,2.496672213,2.468386023,0.02828619,0,11.88269551,0.838602329,0.234608985,6.27953411,25.13311148,166.0099834,2.731281198,3.624792013,9.979201331,1.102127998,184.9916805,0.633670217,0.936772047,0.034200107,0.466943117,0.15640599,0.173044925,15.13651563,DynaMoth
Bugs.jar,0.099410643,0.995319813,0.769110764,0.040561622,0.161709135,0.023938291,0.465227942,5.637961518,4.730351881,0.443560409,0.438932224,0.025117005,1.025758364,0.987103484,0.03865488,0,9.936443656,1.43247766,0.339954483,10.62098798,19.75221728,73.63973025,5.115197965,5.608236554,8.270407309,1.163627448,369.3018006,0.62745946,1.244519562,0.196776697,0.528955809,0.292161719,0.965310084,35.14287076,DynaMoth
Bugs.jar,0.23313783,0.858399665,0.500209468,0.006074571,0.290322581,0.061793046,0.356723921,5.686635945,4.261416003,0.250104734,0.732299958,0.442815249,1.033514872,0.971093423,0.044197738,0.018223712,9.074333801,0.793828892,0.228210779,11.50210379,25.41875376,47.11981567,4.745541976,7.06792226,6.484271689,1.094217384,188.703867,0.554997794,0.850931677,0.021892611,0.426165033,0.062512523,0.072129834,14.94757001,DynaMoth
Defects4J,1.137508999,1.761328808,0.645664918,0.013000103,0.447166512,0.655497275,0.510274607,9.313977168,4.916836367,0.184552093,2.72891083,1.483677877,0.828016044,0.55069423,0.021433714,0.2558881,15.07299031,0.779659978,0.1898729,16.77951694,42.74230659,276.4519596,6.100657975,11.04499571,6.973497078,0.951794007,394.9075565,0.633737501,2.63658098,0.038009607,0.400117444,0.064939311,0.066124484,25.18266847,Nopol
Defects4J,0.04865284,0.672029463,0.613814047,0.006784261,0.051431156,0,0,10.0295923,8.827873619,0.612327971,0.58525554,0.004135168,0.990825095,0.987465271,0.003359824,0,12.99263423,0.65839633,0.437358661,11.45977903,33.30684241,197.8007366,5.760741746,5.802287265,11.42127027,1.034090476,340.3067778,0.636315869,0.906700265,0.048217303,0.420514803,0.13116237,0.186470246,20.60002605,Arja
Defects4J,0.086938696,0.961597032,0.757516595,0.042190551,0.14326435,0.018625537,0.370089809,5.665911753,4.747989067,0.475888325,0.4170246,0.025009762,1.229636861,1.187700117,0.041936743,0,9.596606871,1.19908929,0.333510824,9.245818262,18.55296256,68.64761398,4.4561629,4.879624699,8.064172007,1.223340452,332.9551255,0.597707362,1.11530764,0.138965045,0.514338627,0.2140903,0.676716303,31.21279525,Arja
Defects4J,0.22495856,2.721761781,2.241060857,0.019180677,0.333885863,0.127634383,0.286052569,14.51764149,12.83589865,0.41558134,0.582050675,0.684110822,2.301681269,2.180203647,0.031967795,0.089509827,22.85318494,0.447785934,0.600994554,15.20506749,45.36419607,433.7551504,7.785460573,8.382429552,19.20885626,1.102229333,336.4986976,0.59320497,2.167890126,0.012840468,0.348577952,0.115084063,0.115084063,13.0934956,DynaMoth
Defects4J,0.049419627,10.64139993,9.644389729,0.021104467,0.683784734,0.292120999,0.275061555,9.990327119,8.434576152,1.226697151,0.289131199,0.039922617,0.265564544,0.237776996,0.027787548,0,23.14364451,1.373234585,0.144505684,3.390630382,40.748536,608.2962453,1.456252153,2.108336204,19.9946607,1.007113356,527.2116776,0.629836511,0.803995866,0.161924021,0.365103798,0.389080262,0.579228384,21.05257329,Arja
Defects4J,0.013424585,0.839694656,0.723085022,0,0.081863648,0.034745986,0.012634904,2.58778626,2.140036852,0.069228744,0.337193998,0.041326665,0.569886812,0.557251908,0.012634904,0,4.979338843,0.887396694,0.194989669,7.13713843,12.81120868,26.41942149,3.298295455,3.873966942,4.218491736,1.221427707,69.43956612,0.52066166,0.501291322,0.034425596,0.601341967,0.050103306,0.053202479,10.63195239,Arja
IntroClassJava,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,2.166666667,1,0,0.333333333,4.839181287,0.833333333,0.166666667,0.166666667,2.166666667,0.875,43.61988304,0,0,0,0.708333333,0,0,14.6788499,Nopol
IntroClassJava,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,2.166666667,1,0,0.333333333,4.833333333,0.833333333,0.166666667,0.166666667,2.166666667,0.875,44.82692308,0,0,0,0.708333333,0,0,15.08119658,Nopol
IntroClassJava,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,2.166666667,1,0,0.38576779,4.719101124,0.833333333,0.192883895,0.192883895,2.166666667,0.875,47.06741573,0,0,0,0.708333333,0,0,15.82802747,jMutRepair
IntroClassJava,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,2.217948718,1,0,0.358974359,5.141025641,0.833333333,0.179487179,0.179487179,2.166666667,0.88497151,37.53846154,0,0,0,0.708333333,0,0,11.95192308,none
IntroClassJava,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,2.166666667,1,0,0.355555556,4.926666667,0.833333333,0.177777778,0.177777778,2.166666667,0.875,50.93333333,0,0,0,0.708333333,0,0,17.11666667,Arja
IntroClassJava,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,2.181818182,1,0,0.575757576,5.166666667,0.833333333,0.287878788,0.287878788,2.166666667,0.877946128,32.78787879,0,0,0,0.708333333,0,0,10.90151515,Arja